"","ones","dem","rep","female","age","BA"
"1",1,1,0,0,11,1
"2",1,0,0,0,30,1
"3",1,1,0,1,6,1
"4",1,1,0,0,27,1
"5",1,0,0,0,39,1
"6",1,0,0,1,20,0
"7",1,1,0,0,14,0
"8",1,0,1,0,39,0
"9",1,1,0,1,32,1
"10",1,1,0,0,30,1
"11",1,1,0,0,28,1
"12",1,0,0,0,25,1
"13",1,0,0,0,27,0
"14",1,0,0,0,25,1
"15",1,0,1,0,48,0
"16",1,0,1,1,42,0
"17",1,1,0,1,31,1
"18",1,1,0,1,44,0
"19",1,1,0,0,31,1
"20",1,0,0,0,31,1
"21",1,1,0,1,33,1
"22",1,0,0,1,34,1
"23",1,0,1,0,51,0
"24",1,0,0,1,32,1
"25",1,1,0,0,63,0
"26",1,0,1,0,30,1
"27",1,0,1,0,59,1
"28",1,1,0,1,32,1
"29",1,0,0,0,31,1
"30",1,1,0,1,25,1
"31",1,1,0,0,37,1
"32",1,1,0,0,40,1
"33",1,0,0,1,61,1
"34",1,0,0,1,51,0
"35",1,1,0,1,33,1
"36",1,0,0,0,36,1
"37",1,0,0,1,64,1
"38",1,0,0,0,52,1
"39",1,0,0,1,39,0
"40",1,1,0,1,67,0
"41",1,0,1,0,38,1
"42",1,1,0,1,31,1
"43",1,1,0,1,65,1
"44",1,1,0,0,40,1
"45",1,0,0,0,21,1
"46",1,1,0,1,36,1
"47",1,1,0,1,22,0
"48",1,0,1,0,32,0
"49",1,0,1,0,41,1
"50",1,0,0,0,37,1
"51",1,0,0,0,39,1
"52",1,1,0,0,34,0
"53",1,0,0,0,25,1
"54",1,1,0,1,21,1
"55",1,1,0,0,29,1
"56",1,0,0,1,39,1
"57",1,0,1,1,54,1
"58",1,1,0,0,52,1
"59",1,0,0,1,34,1
"60",1,0,0,0,39,0
"61",1,0,0,0,30,0
"62",1,0,0,0,21,1
"63",1,0,1,0,44,1
"64",1,1,0,0,45,1
"65",1,0,0,0,39,1
"66",1,0,0,1,31,1
"67",1,0,1,0,44,1
"68",1,0,0,1,51,1
"69",1,0,1,0,46,0
"70",1,0,0,0,30,1
"71",1,1,0,0,42,1
"72",1,0,1,1,29,0
"73",1,1,0,1,38,1
"74",1,0,1,0,31,0
"75",1,1,0,0,36,1
"76",1,0,0,1,36,1
"77",1,0,1,0,34,0
"78",1,0,1,0,27,1
"79",1,1,0,0,32,1
"80",1,0,1,0,38,1
"81",1,1,0,1,41,1
"82",1,0,1,1,18,1
"83",1,0,1,0,19,1
"84",1,0,0,0,35,1
"85",1,0,1,0,21,1
"86",1,0,1,1,32,0
"87",1,0,1,1,45,1
"88",1,0,1,0,29,1
"89",1,0,1,1,23,1
"90",1,0,1,0,37,1
"91",1,0,1,1,35,1
"92",1,1,0,1,49,1
"93",1,1,0,0,16,0
"94",1,0,1,1,25,1
"95",1,1,0,0,45,1
"96",1,1,0,0,38,0
"97",1,1,0,1,20,1
"98",1,0,1,1,32,0
"99",1,1,0,1,35,0
"100",1,0,1,1,25,0
"101",1,1,0,0,43,0
"102",1,0,0,0,43,0
"103",1,1,0,1,29,0
"104",1,0,1,0,49,1
"105",1,0,0,1,43,1
"106",1,0,1,0,17,1
"107",1,0,0,0,40,0
"108",1,0,1,0,42,1
"109",1,1,0,0,31,1
"110",1,0,1,0,33,0
"111",1,0,1,0,62,0
"112",1,1,0,1,45,1
"113",1,1,0,1,36,1
"114",1,1,0,1,41,1
"115",1,0,1,1,35,0
"116",1,0,0,0,34,1
"117",1,1,0,1,42,0
"118",1,0,0,1,41,1
"119",1,0,0,0,33,0
"120",1,1,0,1,60,1
"121",1,1,0,1,30,1
"122",1,0,1,0,25,0
"123",1,0,1,0,21,0
"124",1,0,1,0,46,1
"125",1,1,0,1,57,1
"126",1,1,0,1,37,1
"127",1,1,0,0,49,1
"128",1,1,0,1,55,0
"129",1,1,0,1,22,1
"130",1,1,0,0,54,0
"131",1,0,1,0,26,0
"132",1,1,0,1,35,0
"133",1,0,1,1,37,0
"134",1,1,0,1,44,1
"135",1,1,0,0,28,1
"136",1,1,0,0,33,1
"137",1,0,1,0,26,1
"138",1,0,1,1,32,1
"139",1,0,1,0,30,0
"140",1,0,0,0,30,1
"141",1,1,0,0,28,1
"142",1,0,1,0,20,1
"143",1,0,1,0,22,1
"144",1,1,0,0,36,1
"145",1,1,0,1,34,0
"146",1,0,1,1,23,0
"147",1,0,1,0,19,0
"148",1,1,0,1,45,0
"149",1,1,0,1,24,0
"150",1,1,0,1,54,0
"151",1,0,0,1,36,1
"152",1,0,1,0,31,1
"153",1,1,0,1,21,1
"154",1,1,0,1,37,1
"155",1,1,0,1,38,1
"156",1,1,0,1,31,0
"157",1,0,1,0,25,0
"158",1,1,0,0,31,0
"159",1,1,0,0,40,0
"160",1,0,0,0,50,1
"161",1,0,0,0,23,1
"162",1,0,1,0,46,1
"163",1,1,0,1,29,1
"164",1,1,0,0,43,1
"165",1,1,0,0,48,0
"166",1,0,1,1,36,1
"167",1,0,1,0,37,1
"168",1,1,0,1,31,0
"169",1,1,0,1,30,1
"170",1,0,1,1,34,1
"171",1,1,0,0,30,1
"172",1,0,1,1,46,0
"173",1,0,1,1,50,0
"174",1,1,0,0,18,1
"175",1,0,0,0,22,1
"176",1,0,0,0,36,0
"177",1,1,0,0,23,1
"178",1,0,1,0,47,1
"179",1,1,0,1,37,1
"180",1,1,0,0,35,1
"181",1,1,0,1,38,0
"182",1,0,1,0,37,1
"183",1,0,1,1,37,1
"184",1,0,0,1,44,1
"185",1,1,0,1,33,0
"186",1,1,0,1,26,0
"187",1,0,1,0,19,0
"188",1,0,0,1,38,1
"189",1,0,1,1,31,0
"190",1,0,1,1,22,0
"191",1,1,0,1,36,0
"192",1,0,1,0,29,0
"193",1,1,0,0,35,1
"194",1,0,1,0,36,1
"195",1,0,1,0,41,0
"196",1,0,0,0,23,1
"197",1,1,0,0,39,1
"198",1,0,1,0,17,1
"199",1,0,0,0,37,1
"200",1,1,0,0,17,1
"201",1,1,0,1,60,1
"202",1,1,0,0,31,1
"203",1,0,0,0,46,1
"204",1,1,0,1,31,1
"205",1,1,0,0,47,1
"206",1,1,0,1,29,1
"207",1,1,0,1,24,1
"208",1,1,0,0,36,0
"209",1,0,1,1,33,1
"210",1,1,0,0,24,1
"211",1,0,0,0,20,0
"212",1,1,0,1,25,1
"213",1,0,1,0,18,1
"214",1,0,0,0,35,0
"215",1,0,1,0,21,1
"216",1,1,0,0,43,1
"217",1,0,1,0,46,1
"218",1,0,0,0,35,1
"219",1,1,0,0,45,0
"220",1,0,1,0,43,1
"221",1,1,0,0,27,1
"222",1,0,1,0,42,0
"223",1,1,0,1,16,1
"224",1,0,0,1,40,0
"225",1,0,0,0,31,0
"226",1,1,0,0,36,0
"227",1,1,0,1,59,0
"228",1,0,1,0,49,1
"229",1,0,0,1,37,1
"230",1,1,0,1,41,1
"231",1,1,0,0,37,1
"232",1,0,1,0,36,1
"233",1,1,0,0,48,1
"234",1,0,0,0,48,1
"235",1,0,1,1,23,1
"236",1,0,0,0,46,0
"237",1,1,0,0,41,0
"238",1,1,0,0,54,1
"239",1,1,0,1,23,1
"240",1,0,1,1,25,0
"241",1,1,0,0,29,1
"242",1,0,0,0,17,1
"243",1,0,0,0,59,0
"244",1,1,0,0,48,1
"245",1,1,0,1,14,0
