"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",0
"8",0
"9",1
"10",1
"11",1
"12",1
"13",0
"14",1
"15",0
"16",0
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",0
"24",1
"25",1
"26",0
"27",0
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",0
"38",0
"39",1
"40",0
"41",0
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",0
"49",0
"50",0
"51",0
"52",1
"53",1
"54",1
"55",1
"56",1
"57",0
"58",1
"59",0
"60",0
"61",0
"62",1
"63",0
"64",1
"65",0
"66",0
"67",0
"68",0
"69",0
"70",1
"71",1
"72",0
"73",1
"74",0
"75",1
"76",1
"77",0
"78",0
"79",1
"80",0
"81",1
"82",0
"83",0
"84",1
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",1
"93",1
"94",0
"95",1
"96",1
"97",1
"98",0
"99",1
"100",0
"101",1
"102",0
"103",1
"104",0
"105",1
"106",0
"107",0
"108",0
"109",1
"110",0
"111",0
"112",1
"113",1
"114",1
"115",0
"116",0
"117",1
"118",0
"119",0
"120",1
"121",1
"122",0
"123",0
"124",0
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",0
"132",1
"133",0
"134",1
"135",1
"136",1
"137",1
"138",0
"139",0
"140",1
"141",1
"142",0
"143",0
"144",1
"145",1
"146",0
"147",0
"148",1
"149",1
"150",1
"151",1
"152",0
"153",1
"154",1
"155",1
"156",1
"157",0
"158",1
"159",1
"160",0
"161",0
"162",0
"163",1
"164",1
"165",0
"166",0
"167",0
"168",1
"169",1
"170",0
"171",1
"172",0
"173",0
"174",1
"175",1
"176",0
"177",1
"178",0
"179",1
"180",1
"181",1
"182",0
"183",0
"184",1
"185",1
"186",1
"187",0
"188",1
"189",0
"190",0
"191",1
"192",0
"193",1
"194",0
"195",0
"196",1
"197",1
"198",0
"199",0
"200",1
"201",1
"202",1
"203",0
"204",1
"205",1
"206",1
"207",1
"208",1
"209",0
"210",1
"211",0
"212",1
"213",0
"214",1
"215",0
"216",1
"217",0
"218",1
"219",0
"220",0
"221",1
"222",0
"223",1
"224",1
"225",0
"226",1
"227",1
"228",0
"229",1
"230",1
"231",1
"232",0
"233",1
"234",0
"235",0
"236",0
"237",1
"238",1
"239",1
"240",0
"241",1
"242",1
"243",0
"244",1
"245",1
"246",1
"247",0
"248",1
"249",0
"250",1
"251",1
"252",1
"253",1
"254",1
"255",0
"256",0
"257",0
"258",1
"259",1
"260",1
"261",1
"262",1
"263",1
"264",0
"265",0
"266",1
"267",0
"268",1
"269",1
"270",1
"271",0
"272",1
"273",0
"274",1
"275",1
"276",1
"277",0
"278",1
"279",1
"280",1
"281",1
"282",1
"283",0
"284",1
"285",1
"286",1
"287",1
"288",0
"289",1
"290",1
"291",0
"292",0
"293",0
"294",1
"295",1
"296",0
"297",0
"298",1
"299",0
"300",1
"301",1
"302",1
"303",1
"304",0
"305",1
"306",0
"307",1
"308",0
"309",0
"310",1
"311",0
"312",1
"313",1
"314",0
"315",1
"316",1
"317",1
"318",1
"319",1
"320",0
"321",1
"322",1
"323",1
"324",0
"325",0
"326",1
"327",1
"328",1
"329",1
"330",0
"331",1
"332",0
"333",1
"334",1
"335",0
"336",1
"337",1
"338",0
"339",0
"340",0
"341",1
"342",1
"343",0
"344",1
"345",1
"346",1
"347",1
"348",1
"349",0
"350",1
"351",1
"352",1
"353",0
"354",0
"355",1
"356",0
"357",1
"358",1
"359",1
"360",1
"361",1
"362",0
"363",1
"364",1
"365",1
"366",1
"367",0
"368",0
"369",1
"370",0
"371",1
"372",1
"373",1
"374",1
"375",1
"376",0
"377",1
"378",0
"379",0
"380",1
"381",0
"382",1
"383",0
"384",1
"385",1
"386",0
"387",0
"388",1
"389",1
"390",1
"391",1
"392",0
"393",0
"394",1
"395",1
"396",0
"397",1
"398",0
"399",1
"400",0
"401",1
"402",1
"403",1
"404",1
"405",1
"406",1
"407",0
"408",0
"409",1
"410",1
"411",1
"412",0
"413",0
"414",1
"415",1
"416",1
"417",0
"418",1
"419",0
"420",1
"421",0
"422",1
"423",0
"424",1
"425",0
"426",0
"427",1
"428",1
"429",1
"430",1
"431",0
"432",1
"433",1
"434",1
"435",1
"436",0
"437",1
"438",0
"439",0
"440",1
"441",1
"442",0
"443",0
"444",0
"445",0
"446",0
"447",1
"448",0
"449",1
"450",0
"451",1
"452",0
"453",1
"454",1
"455",1
"456",0
"457",0
"458",0
"459",0
"460",1
"461",1
"462",1
"463",0
"464",0
"465",0
"466",0
"467",0
"468",1
"469",1
"470",0
"471",0
"472",1
"473",0
"474",0
"475",0
"476",0
"477",1
"478",0
"479",0
"480",0
"481",0
